Announced Date;Bidder Company;Seller Company
01.02.2021;"Existing Management; Jali Prihti (Private investor); Ville Kotka (Private investor)";Canelco Capital Oy
31.01.2021;Riddargatan SPV S AB;Procuritas AB
28.01.2021;Erhvervsinvest Management A/S;Container Centralen A/S
28.01.2021;Erhvervsinvest Management A/S;Container Centralen A/S
27.01.2021;Executive Capital A/S;J. L. Holding Nykobing Sj. ApS
27.01.2021;Nordlo AB;Johannes Jaxow (Private Investor)
26.01.2021;"EQT Partners AB; Oakley Capital Limited";EQT Partners AB
19.01.2021;Accent Equity Partners AB;"Roger Hyden (Private Investor); Niklas Pettersson (Private Investor)"
18.01.2021;Zefyr Invest A/S;Blue Equity Management A/S
18.01.2021;Broviken Gruppen AB;"Longship AS; RG Rustand Gruppen AS; HRP MgmtCo; Unione AS"
14.01.2021;Oris Dental Holding AS;Tannlege Benjaminsen AS
14.01.2021;"Litorina Capital Advisors AB; Bragnum Invest Holding AB";Capillar Equity
12.01.2021;Presto Brandsakerhet AB;Pamica Group AB
